date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:28	23914/23914	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jun%202019%2000:42:58%20GMT	https://preview.colorlib.com/theme/clark/single.html	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/single.html	(from https://preview.colorlib.com/theme/clark/)
12:25:30	220659/220659	---M--	200	added ('OK')	image/jpeg	etag:%2235df3-58c7fcd42de00%22	https://preview.colorlib.com/theme/clark/images/project-2.jpg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/project-2.jpg	(from https://preview.colorlib.com/theme/clark/)
12:25:33	76443/76443	---M--	200	added ('OK')	image/jpeg	etag:%2212a9b-58c7fcce75080%22	https://preview.colorlib.com/theme/clark/images/image_2.jpg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/image_2.jpg	(from https://preview.colorlib.com/theme/clark/)
12:25:35	153691/153691	---M--	200	added ('OK')	image/jpeg	etag:%222585b-58c7fccd80e40%22	https://preview.colorlib.com/theme/clark/images/image_1.jpg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/image_1.jpg	(from https://preview.colorlib.com/theme/clark/)
12:25:36	67519/67519	---M--	200	added ('OK')	image/jpeg	etag:%22107bf-58c7fcd05d500%22	https://preview.colorlib.com/theme/clark/images/image_3.jpg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/image_3.jpg	(from https://preview.colorlib.com/theme/clark/)
12:25:41	153856/153856	---M--	200	added ('OK')	image/jpeg	etag:%2225900-58c7fcc11b100%22	https://preview.colorlib.com/theme/clark/images/bg_1.jpg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/bg_1.jpg	(from https://preview.colorlib.com/theme/clark/)
12:25:42	174055/174055	---M--	200	added ('OK')	image/jpeg	etag:%222a7e7-58c7fcc026ec0%22	https://preview.colorlib.com/theme/clark/images/about.jpg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/about.jpg	(from https://preview.colorlib.com/theme/clark/)
12:25:42	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226853f431-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/clark/)
12:25:47	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:%222c9d-58c7fcdeab6c0-gzip%22	https://preview.colorlib.com/theme/clark/js/jquery-migrate-3.0.1.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/jquery-migrate-3.0.1.min.js	(from https://preview.colorlib.com/theme/clark/)
12:25:49	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:%2241706-58c7fce093b40-gzip%22	https://preview.colorlib.com/theme/clark/js/jquery.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/jquery.min.js	(from https://preview.colorlib.com/theme/clark/)
12:25:51	19032/19032	---M-Z	200	added ('OK')	application/javascript	etag:%224a58-58c7fce370200-gzip%22	https://preview.colorlib.com/theme/clark/js/popper.min.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/popper.min.js	(from https://preview.colorlib.com/theme/clark/)
